Time,Ipv,Vpv,Vdc,ia,ib,ic,va,vb,vc,Iabc,If,Vabc,Vf,Label
12.488076,2.591217,2.5146484,1.171875,-0.000855469,0.013427734,0.000849609,153.06732,-103.58383,-46.53417,0.002900628,48.079247,155.31262,49.999252,F
1.7299137,2.3509216,86.70044,148.53516,-0.16198829,-0.50354004,0.62523925,23.156586,120.94223,-144.41223,0.66225135,49.91009,155.14061,50.00716,F
4.9057045,1.5269165,101.483154,143.26172,0.059569336,0.35583496,-0.4288379,-40.322113,-108.477936,151.16673,0.46903756,50.112877,155.44374,50.001495,F
2.547426,1.5212402,101.70288,145.3125,-0.41040137,0.080566406,0.41710937,148.71567,-37.621918,-111.12991,0.5073448,49.41784,154.98927,50.025955,F
1.7226651,1.5515137,101.361084,144.14062,-0.101563476,0.41625977,-0.34155762,28.062744,-145.1355,118.487144,0.45882827,49.76458,154.80789,49.99413,F
2.001563,1.9516907,74.91455,144.4336,-0.000855469,0.4296875,-0.3684131,3.8453674,-135.5281,132.53056,0.42122737,49.97801,154.78133,49.99656,F
0.94041836,1.9270935,87.628174,144.72656,0.10656641,0.35583496,-0.45569336,-38.827362,-109.671326,150.55196,0.49503604,50.005016,155.41766,49.988,F
14.075598,2.4341736,92.0105,148.82812,0.1468496,0.44311523,-0.6101123,-62.28531,-90.68558,155.22507,0.6612901,49.99208,155.64655,50.005386,F
3.5099618,1.7511292,87.71973,145.89844,-0.26941016,-0.3692627,0.5715283,63.406372,95.266266,-150.4515,0.55765176,49.95441,155.38275,49.999706,F
1.1906399,1.4143372,101.92261,144.4336,0.34155175,0.12756348,-0.44226563,-102.63153,-48.736115,151.84581,0.482132,50.134174,154.91623,49.990196,F
3.357859,1.5023193,101.34277,144.4336,0.1468496,-0.557251,0.38354003,-62.008057,154.51385,-92.983955,0.5182586,49.826405,155.08488,49.9955,F
4.500387,2.3840332,91.99829,148.24219,-0.6051035,0.4901123,0.04784668,137.75818,-132.39395,-2.9453022,0.6684321,50.12,155.72064,50.001926,F
8.715517,2.1617126,74.072266,143.84766,0.42883202,-0.32226562,-0.12,-145.32837,118.82065,31.783548,0.4430823,50.042416,155.46002,49.99742,F
10.7931595,2.570404,2.545166,1.171875,0.005858398,0.006713867,0.000849609,28.978882,118.1456,-145.93913,0.006811803,49.22951,155.30911,50.000675,F
9.850229,1.7558594,87.664795,145.01953,-0.23584083,-0.36254883,0.5513867,50.5925,105.93445,-149.7644,0.5574425,49.91441,155.46475,49.996834,F
3.0425773,2.2383423,90.704346,148.24219,0.07971094,0.5102539,-0.5496875,-16.57486,-124.54651,142.21832,0.6890653,50.042572,154.90852,49.997654,F
8.191018,1.5392151,101.42822,144.4336,0.15356347,-0.50354004,0.2694043,-68.734436,155.26123,-87.10943,0.45079443,50.508755,155.09032,50.003468,F
13.09478,0.056762695,108.70972,114.25781,0.0662832,0.040283203,-0.1401416,82.23541,73.1102,-153.93925,0.14826436,50.006702,154.82388,49.997562,F
